Date	Price	Open	High	Low	Change %
2018-09-04	71.37	71.14	71.945	71.095	0.22%
2018-09-03	71.215	70.79	71.22	70.725	0.30%
2018-09-02	71.005	71.005	71.005	71.005	0.00%
2018-08-31	71.005	70.955	71.025	70.855	0.37%
2018-08-30	70.745	70.635	70.875	70.595	0.30%
2018-08-29	70.535	70.325	70.635	70.24	0.62%
2018-08-28	70.1	70.05	70.297	70.05	-0.09%
2018-08-27	70.165	69.765	70.165	69.705	0.56%
2018-08-26	69.775	69.775	69.775	69.775	-0.28%
2018-08-24	69.97	70.22	70.24	69.897	-0.19%
2018-08-23	70.105	70.015	70.17	69.968	0.34%
2018-08-22	69.87	69.88	69.895	69.8	0.01%
2018-08-21	69.86	69.665	69.92	69.535	0.06%
2018-08-20	69.82	69.82	69.88	69.6	0.04%
2018-08-19	69.795	69.795	69.795	69.795	-0.44%
2018-08-17	70.1	70.13	70.16	70.08	0.01%
2018-08-16	70.09	70.23	70.42	70.09	0.24%
2018-08-15	69.92	69.92	69.92	69.92	-0.06%
2018-08-14	69.96	69.86	70.09	69.7	-0.09%
2018-08-13	70.02	69.485	70.02	69.405	1.34%
2018-08-12	69.095	69.095	69.095	69.095	0.30%
2018-08-10	68.89	68.845	69.025	68.767	0.19%
2018-08-09	68.76	68.48	68.76	68.46	0.15%
2018-08-08	68.66	68.677	68.715	68.58	0.04%
2018-08-07	68.63	68.82	68.94	68.63	-0.29%
2018-08-06	68.83	68.58	68.9	68.545	0.46%
2018-08-05	68.515	68.515	68.515	68.515	-0.04%
2018-08-03	68.545	68.695	68.845	68.545	-0.12%
2018-08-02	68.625	68.375	68.735	68.265	0.40%
2018-08-01	68.35	68.56	68.632	68.35	-0.16%
2018-07-31	68.46	68.71	68.71	68.45	-0.21%
2018-07-30	68.605	68.705	68.793	68.605	-0.03%
2018-07-29	68.625	68.625	68.625	68.625	0.03%
2018-07-27	68.605	68.655	68.755	68.535	-0.08%
2018-07-26	68.66	68.705	68.76	68.618	-0.10%
2018-07-25	68.73	68.965	68.98	68.67	-0.32%
2018-07-24	68.948	68.97	69.088	68.845	0.15%
2018-07-23	68.845	68.705	68.865	68.645	0.15%
2018-07-22	68.743	68.743	68.743	68.743	0.00%
2018-07-20	68.74	69.025	69.132	68.74	-0.41%
2018-07-19	69.02	68.72	69.11	68.7	0.58%
2018-07-18	68.625	68.425	68.645	68.385	0.28%
2018-07-17	68.43	68.36	68.475	68.28	-0.18%
2018-07-16	68.55	68.56	68.72	68.51	0.08%
2018-07-15	68.497	68.497	68.497	68.497	0.00%
2018-07-13	68.5	68.52	68.562	68.335	-0.03%
2018-07-12	68.52	68.765	68.765	68.49	-0.31%
2018-07-11	68.73	68.825	68.895	68.71	-0.04%
2018-07-10	68.755	68.665	68.865	68.655	0.14%
2018-07-09	68.66	68.57	68.79	68.57	-0.15%
2018-07-08	68.765	68.765	68.765	68.765	-0.06%
2018-07-06	68.805	68.885	69.03	68.805	-0.11%
2018-07-05	68.88	68.81	69.01	68.695	0.28%
2018-07-04	68.69	68.525	68.778	68.445	0.20%
2018-07-03	68.55	68.935	68.965	68.525	-0.25%
2018-07-02	68.72	68.495	68.825	68.34	0.40%
2018-07-01	68.445	68.445	68.445	68.445	-0.02%
2018-06-29	68.46	68.7	68.7	68.36	-0.55%
2018-06-28	68.84	68.9	69.1	68.725	0.29%
2018-06-27	68.64	68.43	68.71	68.425	0.39%
2018-06-26	68.37	68.14	68.37	68.08	0.37%
2018-06-25	68.115	67.905	68.172	67.905	0.37%
2018-06-24	67.865	67.865	67.865	67.865	-0.01%
2018-06-22	67.87	67.84	67.89	67.715	-0.11%
2018-06-21	67.945	68.205	68.243	67.945	-0.17%
2018-06-20	68.06	68.1	68.185	68.03	-0.37%
2018-06-19	68.31	67.98	68.385	67.978	0.40%
2018-06-18	68.04	68.16	68.17	67.95	-0.03%
2018-06-17	68.06	68.06	68.06	68.06	0.00%
2018-06-15	68.06	67.915	68.065	67.888	0.55%
2018-06-14	67.69	67.575	67.735	67.57	0.07%
2018-06-13	67.645	67.6	67.705	67.55	0.24%
2018-06-12	67.48	67.455	67.51	67.36	0.01%
2018-06-11	67.47	67.445	67.48	67.275	-0.07%
2018-06-10	67.52	67.52	67.52	67.52	-0.01%
2018-06-08	67.53	67.47	67.795	67.44	0.16%
2018-06-07	67.42	66.94	67.46	66.94	0.87%
2018-06-06	66.84	67.09	67.165	66.84	-0.39%
2018-06-05	67.1	67.08	67.23	67.08	0.04%
2018-06-04	67.07	66.915	67.17	66.85	0.20%
2018-06-03	66.935	66.935	66.935	66.935	-0.09%
2018-06-01	66.995	67.455	67.455	66.995	-0.65%
2018-05-31	67.43	67.43	67.6	67.32	-0.01%
2018-05-30	67.44	67.855	67.9	67.395	-0.59%
2018-05-29	67.84	67.63	67.995	67.63	0.65%
2018-05-28	67.4	67.505	67.532	67.297	-0.49%
2018-05-27	67.732	67.732	67.732	67.732	0.00%
